,CountryCode,ShortName,GDP,Life expectancy,Enrollment primary education,Enrollment secondary education,Enrollment tertiary education,Renewable energy consumption,Fossil fuel energy consumption,Year
370,LCA,St. Lucia,7195.66982997232,74.6357073170732,,94.63983154296879,16.3404006958008,2.30692409575813,,2011
371,LCA,St. Lucia,7248.234504906809,74.7776341463415,,91.1009292602539,10.178409576416,,,2012
372,LCN,Latin America & Caribbean (all income levels),8976.6771006888,74.0285417513372,110.851928710938,88.7666778564453,40.856941223144496,28.670611671653198,73.4440953853096,2010
373,LCN,Latin America & Caribbean (all income levels),10052.6550036336,74.2525172516323,109.598159790039,88.5923690795898,42.3170204162598,28.473043721101106,73.5281338926358,2011
374,LCN,Latin America & Caribbean (all income levels),9992.556349977109,74.47639214729921,108.794219970703,89.06011962890629,43.4096488952637,27.6883316796808,74.21383757163079,2012
375,LDC,Least developed countries: UN classification,750.207915295665,61.3439895637901,102.670570373535,39.5397987365723,8.13706970214844,76.2968170909485,26.8758863078334,2010
376,LDC,Least developed countries: UN classification,835.1827560692101,61.8531512550731,104.46019744872999,40.480251312255895,8.67681980133057,75.8233687075287,26.420516181560398,2011
377,LDC,Least developed countries: UN classification,864.494304703474,62.329094132441995,104.993896484375,41.6660003662109,8.85019016265869,74.8458334575855,27.1624850054312,2012
378,LIC,Low income,503.96401637307997,59.031931454800905,103.574447631836,37.3103485107422,7.053490161895749,79.29763052521521,20.8205754633164,2010
379,LIC,Low income,550.618109919949,59.66711051516021,103.68224334716801,38.623931884765604,7.47664022445679,80.5040406043757,18.2835248659808,2011
380,LIC,Low income,581.226393705884,60.2599256826234,104.38208770752001,39.4691886901855,7.75432014465332,80.9501144347351,18.6605729028513,2012
381,LIE,Liechtenstein,140101.967275142,81.8414634146342,105.459182739258,108.87928009033199,36.018310546875,,,2010
382,LIE,Liechtenstein,157092.969386695,81.7926829268293,104.95050048828101,111.456573486328,43.6750984191895,,,2011
383,LIE,Liechtenstein,149160.758132157,82.3829268292683,103.828002929688,110.373863220215,42.4966812133789,,,2012
384,LKA,Sri Lanka,2746.61213467159,73.7552682926829,99.0498504638672,97.21853637695308,16.042459487915,62.040586834477104,42.8579880339456,2010
385,LKA,Sri Lanka,3128.6948225646197,73.8992926829269,98.6388702392578,99.09557342529301,15.0174999237061,59.462528312660204,48.2055538124751,2011
386,LKA,Sri Lanka,3366.5103597872608,74.0680487804878,98.44019317626949,99.33850860595699,16.9674606323242,60.8586843808416,47.3752124579521,2012
387,LMC,Lower middle income,1671.92161541214,66.0680327772289,106.130966186523,61.3120918273926,18.2635707855225,41.0207621591805,66.9490729079769,2010
388,LMC,Lower middle income,1840.2571989222602,66.39336547410579,106.07673645019501,63.5644683837891,20.807409286499,40.6725206246261,66.6556604725852,2011
389,LMC,Lower middle income,1886.6839416065,66.6977138667997,106.950149536133,65.599739074707,21.9528999328613,40.3029028263811,67.0190656304497,2012
390,LMY,Low & middle income,3279.66467108432,68.5139069451937,109.152198791504,66.6396331787109,21.718290328979503,28.642473189306106,78.8760937508436,2010
391,LMY,Low & middle income,3792.008687210471,68.794965367987,108.96164703369101,68.4335403442383,23.455120086669893,27.841477633756,79.37875093927059,2011
392,LMY,Low & middle income,3959.55020749043,69.058931100162,109.40270233154301,69.7120895385742,24.8391990661621,27.1658994263893,79.5734366244883,2012
393,LSO,Lesotho,1087.98277034468,47.4834146341463,110.469383239746,50.404811859130895,,4.129779772473181,,2010
394,LSO,Lesotho,1241.20570623397,48.219756097560996,110.99121856689501,52.037239074707,,4.2366830764063,,2011
395,LSO,Lesotho,1158.80422205502,48.836000000000006,111.00060272216801,53.2936401367188,10.825670242309599,,,2012
396,LTU,Lithuania,11988.757967608999,73.2682926829268,101.523788452148,106.681747436523,80.75074768066409,21.6942741128512,74.2902408462139,2010
397,LTU,Lithuania,14367.2093249849,73.5634146341464,99.3339385986328,106.91847991943399,76.6044082641602,23.0945555739396,73.8759517274449,2011
398,LTU,Lithuania,14342.5234770018,73.86341463414641,98.7806396484375,105.936561584473,73.9486389160156,24.2753746699542,72.8995685155005,2012
399,LUX,Luxembourg,103267.276511115,80.63170731707321,97.24195098876949,100.956489562988,18.205219268798803,3.66208568136132,87.9470457058013,2010
400,LUX,Luxembourg,113239.56097199,80.9878048780488,96.5611190795898,101.01773071289101,,3.71949169019675,86.99972562078302,2011
401,LUX,Luxembourg,105447.09324074301,81.3926829268293,96.51007080078129,100.04749298095699,19.7430305480957,4.1425917610700695,87.2126299140554,2012
402,LVA,Latvia,11319.517002393999,73.4829268292683,106.031303405762,98.5140228271484,70.5519180297852,35.2677525128485,63.9168836673288,2010
403,LVA,Latvia,13781.2097866151,73.57560975609759,105.29592132568399,98.6637420654297,67.28472900390629,35.5350854111284,62.893899271543596,2011
404,LVA,Latvia,13775.2615846281,73.7780487804878,102.999809265137,97.7099609375,65.133430480957,40.366469498026,58.04189358610621,2012
405,MAC,"Macao SAR, China",53045.989513366105,79.69039024390241,,93.7963180541992,61.791961669921896,0.44678692050221896,,2010
406,MAC,"Macao SAR, China",67012.96342940269,79.906243902439,,96.8064117431641,63.9851608276367,0.18257493544980705,,2011
407,MAC,"Macao SAR, China",77078.8211832019,80.12317073170729,,96.46289825439449,56.0513381958008,,,2012
408,MAF,St. Martin (French part),,78.7219512195122,,,,,,2010
409,MAF,St. Martin (French part),,78.87073170731709,,,,,,2011
410,MAF,St. Martin (French part),,79.0219512195122,,,,,,2012
411,MAR,Morocco,2857.6734140278004,72.57692682926829,111.671752929688,62.461029052734396,14.3189001083374,13.376368075423803,87.9298302478451,2010
412,MAR,Morocco,3066.5031577577397,72.9854390243902,114.539840698242,65.5579833984375,16.1585693359375,11.798974609800403,89.0440781914671,2011
413,MAR,Morocco,2931.4001995337208,73.36465853658541,116.053756713867,68.8769607543945,,11.3375396476102,89.33378706812229,2012
414,MCO,Monaco,145221.191568424,,,,,,,2010
415,MCO,Monaco,163351.64668556198,,,,,,,2011
416,MCO,Monaco,,,,,,,,2012
417,MDA,Moldova,1631.5358317953198,68.4581219512195,93.54077911376949,87.9811325073242,38.145359039306605,4.16136400813449,93.15206876886421,2010
418,MDA,Moldova,1970.5713725333605,68.5752926829268,93.6029815673828,87.71936798095699,39.4480400085449,4.38451434918518,94.8798730536595,2011
419,MDA,Moldova,2046.5367866510894,68.6934146341464,93.7979736328125,88.1958694458008,40.1086387634277,4.66681646773929,94.4486479870661,2012
420,MDG,Madagascar,414.142787218657,63.36173170731711,144.57731628418,,3.60552000999451,81.8547731181557,,2010
421,MDG,Madagascar,456.329307134312,63.8074146341464,144.477462768555,36.595241546630895,4.00570011138916,78.8537331510289,,2011
422,MDG,Madagascar,444.958493750152,64.2466585365854,145.18600463867202,38.027618408203104,4.08571004867554,,,2012
423,MDV,Maldives,6330.7949828376,76.2004878048781,,,,3.4169710780903304,,2010
424,MDV,Maldives,6497.55044561998,76.3375121951219,,,,3.23934627940904,,2011
425,MDV,Maldives,6529.97807141236,76.46234146341459,,,,,,2012
426,MEA,Middle East & North Africa (all income levels),7108.70420023458,72.2467705797102,107.237350463867,76.6345672607422,31.0990905761719,2.14741123814603,98.6571999277466,2010
427,MEA,Middle East & North Africa (all income levels),8346.39662743386,72.4726974339849,107.395439147949,79.9242401123047,32.0015907287598,2.07764664865132,98.7186250842937,2011
428,MEA,Middle East & North Africa (all income levels),8815.428881432601,72.6881415095799,109.047500610352,80.9283828735352,34.441558837890604,2.02959766581671,98.60348607087772,2012
429,MEX,Mexico,8851.35051405824,76.02678048780491,103.50412750244101,83.66229248046879,26.739389419555696,9.95074603463141,89.26571881849729,2010
430,MEX,Mexico,9715.11259636147,76.18565853658541,104.188842773438,84.05133056640629,27.686830520629893,9.63166989165226,89.19102603159858,2011
431,MEX,Mexico,9703.37101717816,76.35409756097559,105.022041320801,85.6814804077148,28.9944896697998,9.35089435158097,90.15050064071173,2012
432,MHL,Marshall Islands,3124.3434477545597,,,,,,,2010
433,MHL,Marshall Islands,3290.0291851616803,,105.402069091797,,,,,2011
434,MHL,Marshall Islands,3502.26070428711,,,,42.8617515563965,,,2012
435,MIC,Middle income,3589.39827823709,69.5732617400599,110.23226928710899,70.5054473876953,23.284490585327106,26.2717253218223,80.3447923412037,2010
436,MIC,Middle income,4159.10295711822,69.8302498639647,110.00315093994101,72.534797668457,25.222669601440398,25.4645310879152,80.8572132591874,2011
437,MIC,Middle income,4348.135617473939,70.0723365943937,110.410713195801,74.02232360839841,26.806079864502,25.346795835542803,81.01688312171909,2012
438,MKD,Macedonia,4561.17754644919,74.72263414634149,90.09117889404301,81.9113235473633,37.074790954589794,22.5935997402025,81.14242049210121,2010
439,MKD,Macedonia,5079.9620789636,74.87451219512201,,,,17.822637051876,82.0248202527083,2011
440,MKD,Macedonia,4709.5116277773795,75.03126829268291,89.2540435791016,82.830810546875,38.45751953125,16.4684817692157,82.4375307856671,2012
441,MLI,Mali,610.790602095153,56.1798048780488,90.3107070922852,42.4334106445313,6.5141901969909695,83.9245530261314,,2010
442,MLI,Mali,680.827907487865,56.6546829268293,91.6634674072266,44.4552192687988,6.8600602149963406,83.8728138077592,,2011
443,MLI,Mali,641.793820084187,57.095,88.47921752929692,,7.47441005706787,,,2012
444,MLT,Malta,19694.083156714198,81.39756097560979,95.2353668212891,99.0485076904297,36.4811210632324,0.723732527118897,99.65462161512691,2010
445,MLT,Malta,22347.708423805,80.7463414634146,94.76107788085942,87.140037536621,39.5995597839355,0.995532050976647,99.54056835348558,2011
446,MLT,Malta,21176.3099827802,80.7463414634146,95.7930221557617,86.28856658935551,41.21104049682621,2.60527016389965,98.55895150939659,2012
447,MMR,Myanmar,,64.917487804878,114.16488647460899,50.2060203552246,,84.950431756084,21.5752620591153,2010
448,MMR,Myanmar,,65.18090243902441,,,13.8136796951294,84.5191515885729,20.98269130199,2011
449,MMR,Myanmar,1421.49735080062,65.4277804878049,,,13.378049850463901,78.7238455502797,25.379699624809298,2012
450,MNA,Middle East & North Africa (developing only),4100.76971926657,71.6895978762165,108.05362701416,74.0372314453125,30.9040603637695,2.68482100854267,97.94929609182621,2010
451,MNA,Middle East & North Africa (developing only),4654.40597799279,71.9203453330657,108.21354675292999,77.3081130981445,31.4396705627441,2.5929500630226,97.9651658271975,2011
452,MNA,Middle East & North Africa (developing only),4912.35177871647,72.1406567430238,109.913047790527,78.0797805786133,33.5312118530273,2.57958666433229,97.92811144643859,2012
453,MNE,Montenegro,6682.28115774574,74.4167317073171,111.155242919922,98.5713882446289,55.531951904296896,54.524847938436004,60.575088892914295,2010
454,MNE,Montenegro,7318.744690267241,74.53936585365851,100.503837585449,91.0411834716797,,43.1886771152975,63.0441155047381,2011
455,MNE,Montenegro,6586.7212793222,74.6498780487805,100.947319030762,90.9029312133789,,46.195479527495394,61.182122911338396,2012
456,MNG,Mongolia,2650.34688488399,67.6038292682927,125.67478179931601,91.5752182006835,53.8116683959961,3.8265449094255697,95.14211439282472,2010
457,MNG,Mongolia,3772.9315473840998,68.12253658536589,122.063278198242,,55.6769905090332,3.5439791155586,95.36000871892419,2011
458,MNG,Mongolia,4377.23887010435,68.613512195122,116.957641601563,,58.76610946655271,3.21669606007016,95.5075857070657,2012
459,MNP,Northern Mariana Islands,,,,,,,,2010
460,MNP,Northern Mariana Islands,,,,,,,,2011
461,MNP,Northern Mariana Islands,,,,,,,,2012
462,MOZ,Mozambique,417.501231533203,53.2269024390244,111.73249816894501,25.314519882202106,4.55887985229492,89.91208949411329,8.01044234595358,2010
463,MOZ,Mozambique,524.89145294127,53.7382926829268,106.767608642578,26.2816505432129,4.85040998458862,88.9293416422434,9.10803815272205,2011
464,MOZ,Mozambique,564.812463094317,54.2121219512195,105.08306884765601,25.9119606018066,5.15298986434937,88.4371895827227,8.362592401153341,2012
465,MRT,Mauritania,1207.82745747508,62.006170731707286,97.10858154296879,20.3266506195068,4.37942981719971,33.9988100676295,,2010
466,MRT,Mauritania,1390.9286216979801,62.2924878048781,95.86990356445308,22.418519973754893,4.74852991104125,33.2825908153162,,2011
467,MRT,Mauritania,1282.78510128586,62.560170731707295,96.6776580810547,26.70285987854,5.144480228424071,,,2012
468,MUS,Mauritius,7772.10005652754,72.9673170731707,107.248733520508,93.18853759765629,34.173000335693395,3.82392131999718,81.6563002709459,2010
469,MUS,Mauritius,8984.62976859867,73.26682926829271,107.634811401367,94.378807067871,36.045501708984396,3.3648589115029703,82.4397083567022,2011
470,MUS,Mauritius,9113.64064294,73.86341463414641,108.169288635254,95.851463317871,39.864818572998,,83.1532446536406,2012
471,MWI,Malawi,365.516569542613,56.836243902439,137.688903808594,32.6524085998535,0.717199981212615,78.6465215776911,,2010
472,MWI,Malawi,369.60434718961403,58.50012195121951,140.15461730957,33.8233795166016,0.814149975776672,79.24445547558841,,2011
473,MWI,Malawi,270.087531288291,60.050292682926795,141.291564941406,34.243679046630895,,,,2012
474,MYS,Malaysia,9069.04175699503,74.15778048780491,,66.8807373046875,37.134529113769496,6.04384189324147,94.91398989431627,2010
475,MYS,Malaysia,10427.7560500121,74.286756097561,,67.2426605224609,35.974910736084,6.54437330194014,94.8455881981139,2011
476,MYS,Malaysia,10834.6590783671,74.4233170731707,,70.79637145996091,37.2002296447754,6.7957857581449295,94.7758045562017,2012
477,NAC,North America,48291.4597271455,78.7745030725575,99.3901596069335,94.00438690185551,89.9931793212891,8.98541188115789,83.15054156969259,2010
478,NAC,North America,50016.827059283496,78.88272329593309,98.73961639404301,94.4143295288085,91.8391265869141,9.6720995570831,82.63527845663779,2011
479,NAC,North America,51590.1465776446,78.99067408649209,98.2070999145508,95.1980667114258,90.9113235473633,9.44438396353191,82.62610271280259,2012
480,NAM,Namibia,5143.13067579247,62.480292682926795,107.48468017578101,,,32.7789967329081,65.9688013408565,2010
481,NAM,Namibia,5539.615159669251,63.277170731707294,,,,33.42250068952489,65.3823094214045,2011
482,NAM,Namibia,5679.95821520897,63.88114634146339,109.462509155273,,,32.9402578329674,65.68890048284571,2012
483,NCL,New Caledonia,,77.4731707317073,,,,3.03881669965015,,2010
484,NCL,New Caledonia,,76.7268292682927,,,,4.00568831727479,,2011
485,NCL,New Caledonia,,77.12195121951221,,,,,,2012
486,NER,Niger,351.00621834678594,58.25899999999999,64.7818984985352,13.831239700317399,1.49682998657227,80.13898612070909,,2010
487,NER,Niger,378.200546574048,59.2045609756098,68.87326049804689,14.682769775390598,1.55034995079041,81.2749467804239,,2011
488,NER,Niger,393.64342304494005,60.072536585365896,71.1337127685547,15.9247598648071,1.75416994094849,,,2012
489,NGA,Nigeria,2314.96353665347,51.32951219512201,84.8048782348633,43.82913970947271,,86.7920620089302,18.014919949632002,2010
490,NGA,Nigeria,2514.14862151929,51.7378048780488,,,,86.16954661791071,18.9856648495815,2011
491,NGA,Nigeria,2739.8521890390602,52.105,,,,86.4723026264126,18.7740850877279,2012
492,NIC,Nicaragua,1523.48146924241,73.58173170731709,116.735733032227,68.908561706543,,51.8890898392595,46.9123572317058,2010
493,NIC,Nicaragua,1679.7482002535598,73.90129268292691,,,,51.4944496968777,48.61373228786761,2011
494,NIC,Nicaragua,1779.8670876131796,74.2124634146341,,,,53.12039718948049,43.678723660656395,2012
495,NLD,Netherlands,50341.251919715985,80.7024390243902,108.55029296875,121.97543334960899,64.3260498046875,3.56090749014018,93.8350968071438,2010
496,NLD,Netherlands,53537.2751512189,81.2048780487805,107.63812255859399,128.41818237304702,76.4160690307617,4.36388832310723,92.3206659361961,2011
497,NLD,Netherlands,49474.705606422,81.10487804878049,105.79074859619101,129.91276550293,77.3435592651367,4.65483804555953,91.5042735758447,2012
498,NOC,High income: nonOECD,15444.4401099302,72.7420528399043,104.65242004394501,89.83106231689449,66.2514801025391,4.45568861092065,92.3498287922537,2010
499,NOC,High income: nonOECD,17994.1581390331,73.2026161002022,104.466163635254,92.3832321166992,67.610221862793,4.410439727512559,92.58806520504328,2011
500,NOC,High income: nonOECD,19098.551044623502,73.6349038797302,106.14689636230499,97.73211669921879,68.2860565185547,4.3517498591492405,92.30778420496227,2012
501,NOR,Norway,87646.2700974708,80.9975609756098,98.87750244140629,113.081642150879,72.7910614013672,56.3348633239853,61.2208205788509,2010
502,NOR,Norway,100575.117263444,81.2951219512195,99.27304077148442,112.98291015625,73.0857925415039,56.6191862277655,57.2921242123071,2011
503,NOR,Norway,101563.70267759699,81.4512195121951,99.4369888305664,111.06130218505899,74.1011199951172,58.0179485735573,57.0505511225486,2012
504,NPL,Nepal,595.427519830012,67.9714878048781,141.053726196289,60.4387283325195,14.3648900985718,87.29244813035999,12.5967265081853,2010
505,NPL,Nepal,695.8831982943469,68.40663414634149,142.923324584961,62.7280883789063,14.4902896881104,86.94551550167989,12.9866552744239,2011
506,NPL,Nepal,685.496758554012,68.8233170731707,139.31115722656298,65.81979370117189,,84.72026885116779,15.1708246198457,2012
507,NZL,New Zealand,33394.0729963486,80.7024390243902,101.22135925292999,119.082710266113,82.5553665161133,31.341974150388108,60.9415615552369,2010
508,NZL,New Zealand,37896.8539665922,80.9048780487805,100.098266601563,119.793006896973,80.7813491821289,32.199223363926,59.536623412269,2011
509,NZL,New Zealand,,81.1560975609756,98.6552505493164,119.544387817383,79.776268005371,30.7800698457796,61.7518923786682,2012
510,OEC,High income: OECD,40459.8313649869,80.1363170174824,101.962020874023,100.971328735352,75.5494918823242,9.9405707089375,80.1984211440673,2010
511,OEC,High income: OECD,43197.5250208225,80.4176680935214,101.574447631836,100.91188812255899,77.34803771972659,10.4751835719721,80.45568169566421,2011
512,OEC,High income: OECD,42914.903596672004,80.53713874957509,101.262451171875,101.166778564453,77.613426208496,10.7480503604317,80.60083401017671,2012
513,OED,OECD members,35672.2573521085,79.39857718000441,102.24655914306601,97.26390838623051,67.90122222900389,10.0343634902772,80.6657024806655,2010
514,OED,OECD members,38060.5212912501,79.6655419587153,102.037826538086,97.6001968383789,69.7444915771484,10.500770082963001,80.95811627400991,2011
515,OED,OECD members,37780.555479715695,79.79538757691991,101.778648376465,97.7473526000977,70.6942901611328,10.7525176639595,81.1386421274737,2012
516,OMN,Oman,19920.6495686354,76.0528048780488,,,24.746160507202106,,100.0,2010
517,OMN,Oman,21164.3357574377,76.3276341463415,106.98912811279301,97.760498046875,28.1372604370117,,100.0,2011
518,OMN,Oman,21533.807603293,76.5895609756098,109.00715637207001,94.12301635742192,,,,2012
519,OSS,Other small states,4229.45116572159,60.8012548080483,109.43887329101601,60.061458587646506,10.952630043029801,40.7231591206046,61.356094443759496,2010
520,OSS,Other small states,5023.35186515379,61.2597491412164,110.115188598633,60.708560943603494,11.583009719848599,40.2574254605143,61.3200101506446,2011
521,OSS,Other small states,4887.07326976875,61.6607777131452,110.57508087158199,61.4230613708496,12.346549987792999,,60.9237215097285,2012
522,PAK,Pakistan,1043.3002050381199,65.1625609756098,94.8090667724609,34.0707817077637,,45.8127399818244,61.4365952279519,2010
523,PAK,Pakistan,1230.81542756809,65.447,92.2880706787109,34.936759948730504,8.31155014038085,45.129526148454,60.8437913739964,2011
524,PAK,Pakistan,1266.38075811451,65.7168780487805,92.90270233154301,36.6008796691895,9.52801990509033,45.4876602788976,60.71857822587621,2012
525,PAN,Panama,7958.583689683159,76.8636341463415,102.167198181152,70.30487060546879,43.9157905578613,24.093856445134506,77.2036207048071,2010
526,PAN,Panama,9036.03741357569,77.0516829268293,101.44637298584,69.740478515625,41.7819213867188,22.2092691872969,79.7098845880993,2011
527,PAN,Panama,10138.5211288862,77.2370487804878,100.319351196289,84.047996520996,43.4564208984375,22.864839069500604,78.3076270941513,2012
528,PER,Peru,5056.30313106415,73.6398048780488,107.250831604004,91.72915649414058,40.64797973632809,30.731297791795807,74.70424777479529,2010
529,PER,Peru,5731.34656323015,73.84497560975609,104.90493774414101,91.7702178955078,,29.5472591623523,75.9199301518594,2011
530,PER,Peru,6388.845097855649,74.05765853658541,99.5940933227539,89.7849807739258,,28.249880452110897,77.7104858098165,2012
531,PHL,Philippines,2145.2400070733897,67.7833170731707,,,29.449350357055696,28.8118585238414,60.2102463780373,2010
532,PHL,Philippines,2371.8535366282103,67.89065853658539,,,30.9458904266357,29.4105609182024,59.6622939821062,2011
533,PHL,Philippines,2604.6559968370198,68.0070731707317,,,31.4762992858887,29.4027836263597,60.7341423858094,2012
534,PLW,Palau,9004.63721642892,,,,,2.76531415855361,,2010
535,PLW,Palau,9765.30550315927,,,,,2.67902381354501,,2011
536,PLW,Palau,10397.7580261948,,,,,,,2012
537,PNG,Papua New Guinea,1418.92359069215,61.99482926829271,,,,54.06141746527661,,2010
538,PNG,Papua New Guinea,1838.69919868665,62.1526341463415,,,,53.4069179427052,,2011
539,PNG,Papua New Guinea,2151.2102765495997,62.2999024390244,114.23159790039101,40.1570587158203,,,,2012
540,POL,Poland,12597.4587924553,76.2463414634146,98.2926483154297,97.22219848632808,73.5207214355469,9.49526089526951,92.283845931251,2010
541,POL,Poland,13891.14168806,76.7463414634146,99.1617431640625,97.3553466796875,73.5096969604492,10.5797832627311,91.9763050506369,2011
542,POL,Poland,13142.045994608601,76.7975609756098,101.226417541504,97.658836364746,73.1939392089844,11.0841365261952,90.8193211998091,2012
543,PRI,Puerto Rico,26435.725980222596,78.182243902439,94.7421035766602,82.969367980957,86.3467483520508,0.6882608508624771,,2010
544,PRI,Puerto Rico,27219.3933390493,78.3588536585366,87.4773101806641,78.318992614746,86.4603271484375,1.00011681508173,,2011
545,PRI,Puerto Rico,27752.0427446427,78.5355365853659,89.1053009033203,79.36180114746091,86.56920623779301,,,2012
546,PRK,Dem. People's Rep. Korea,,68.9000243902439,,,,11.7500609052653,88.26568840166142,2010
547,PRK,Dem. People's Rep. Korea,,69.1879024390244,,,,15.878858881138001,84.2383114420992,2011
548,PRK,Dem. People's Rep. Korea,,69.4941951219512,,,,15.983088401758401,84.1195876973891,2012
